raw_skill,normalized_skill
DOT/FAA background check,Background Investigation
Program Libraries,Programming Libraries
RipeGlobal Restorative Fellowship,Fellowship
Audit & Surveillance,Surveillance
Email Marketing Calendar,Email Marketing
Basic knowledge of food preparation techniques,Cook Dishes
7 years of accounting experience,Accounting
Organisational Change Management,Change Management
Knowledge of human anatomy and sterile techniques,Human Anatomy
Lift/move up to 25 lbs,Lift/Move 25 Pounds
Sick call nurse,Nursing
Technical aspects of GHG regulations,Regulations
American Psychological Association (APA) accredited program,Psychology
Background Check Results,Background Investigation
Safety and good manufacturing practices,GMP (Good Manufacturing Practices)
Manufacturing maintenance engineering experience,Manufacturing
Ariba On Demand,Ariba
Vehicle ESC & braking systems,Braking Systems
Working knowledge of software Development Life Cycle (SDLC),Software Development Lifecycle (SDLC)
Automotive Control Systems,Control Systems
BPM solutions,Business Process Management
Outpatient Aftercare,Outpatient Care
EHR Training,Medical Record System
QA101 Knowledge,Quality Assurance
Robust DevOps and deployment practices,DevOps
Security Risk Mitigation Plans,Risk Management
System Reconciliation,Reconciliation
Business Analytic Tools,Business Analysis
Family medicine program,Family Medicine
First Aid / CPR certifications,CPR Certification
Medication and compliance,Medications
Modern cooking techniques,Cook Dishes
IP networking and configuration,IP (Internet Protocol)
National Provider Identifier (NPI#),Product/Service Launch
Floor covering sales experience,Sales
Stock Location and Order Picking,Order Picking/Packing
Contributions to diversity statement,Diversity
Supervisory Experience in Education,People Management
Ability to lift and carry 50 pounds,Lift/Move 50 Pounds
License with the Drug Enforcement Agency,Government
Nursing and program staff inservice training,Nursing
Staffing Model Development,Recruiting/Staffing/Hiring
Transportation Highway Construction Inspection,Roadway Construction
Cloning of specific ion channels,Cloning
KPI tracking (delivery past due inventory MPS),Performance Metrics
Cisco IOS/XE,Cisco IOS (Internetworking Operating System)
Certified Basic Life Support (BLS),Basic Life Support (BLS)
Modalities (ultrasound electrical stimulation heat/cold therapy),Ultrasound
Ability to ensure compliance with child care state licensing regulations,Licensing
Woodworking techniques,Woodworking
OEM collaboration,OEM (Original Equipment Manufacturer)
Leadership of nursing personnel,Leadership
Experience with JIRA or similar Agile development tool,Agile Programming Methodologies
Experiential Labor Budget Management,Budget Management
Legal Aspects of Nursing Practice,Legal
Top General Hospital designation for quality and safety,Hospital
Air Quality,Air Quality
Project Manager Professional (PMP) certification,Project/Program Management
Systems and process documentation,Documentation
RF Expert,Radio Frequency
First Aid and Basic Life Support,First Aid
Engineering and CAD drawings review,CAD/CAM (Computer-Aided Design/Computer-Aided Manufacturing)
Instrument maintenance and repair,Maintenance Services
Bachelor's degree in Business or Food Science,Food Science
Query statistics and query type information,Statistics
YMCA Swim Instructor Certification,Training/Teaching
Credit union procedures,Credit Union
35 Years' Experience in Designing Developing Implementing and Supporting Business Processes with Technical Solutions,Business Processes
RN License (Full and Unrestricted),Registered Nurse (RN)
Application of testing criteria,Software Testing
Post secondary business school training,Secondary School
NonCertified Radiologic Technologist Licensure,Radiology
Experience with Blue Print interpretation,Blueprints
Regional Market Trends,Market Trend Analysis
Blue Yonder supply chain planning solutions,Supply Chain Management
Production/Sales Flow Assistance,Sales
Understanding of Supply Chain Concepts,Supply Chain
Automotive Industry Knowledge,Automotive Industry
Adoption Campaigns,Campaigns
5+ years truck driving experience,Truck Driver
Mechanical Operations Supervisor,Operations Management
Current Knowledge of Developments in Child and Adolescent Psychiatry,Psychiatry and Mental Health
Nationally Recognized Indoor Cycle Instructor Training or Coaching Certification,Training/Teaching
Support the design group and project managers with a focus on the capital spend side,Project/Program Management
Knowledge of Programs/Services Providing Aviation Security,Aviation Industry
Behavior management model,Management Strategy
CISA Certified,CISA - Certified Information Systems Auditor
cath Labs,Catheterization Laboratory
Ability to understand federal state and local adult beverage laws,Beverages
Quarry Mining,Quarrying
Safety risk factors,Risk
Certificate IV in Peer Work,Certificate IV
Programme Management Delivery System (PCDS),Project/Program Management
Captial Accounting,Capital Accounting
2 Years Experience in Hotel Housekeeping,Housekeeping/Cleaning
Licensure as a Registered Nurse (RN),Registered Nurse (RN)
Fellowship in Pediatric Endocrinology,Fellowship
Able to lift 35 lbs. or more and comfortable using a ladder,Lift/Move 35 Pounds
Potentiometric Titration,Titration
Fulfillment Metrics,Metrics
Fireworks,Adobe Fireworks
Multiple ERPs (Microsoft Dynamics SAP Oracle),Microsoft Dynamics
Building Code Law,Building Codes
Accounting/Costing Experience (10+ years),Accounting
Dental Endosseous Implants,Dental Ceramics
Wound Care Physician,Wound Care
Ability to travel to vendor facilities,Willing to Travel
Unified Desktop Office Automation,Desktop PC
Weld Fixtures,Welding
Portals/Scoping Tools (Symbility Blueprint Xactimate),Blueprints
Salary Manager Potential,Compensation Management
Previous involvement in designing websites for clinical research networks and technical portals,Clinical Research
Veterinary Compliance,Veterinary Medicine
Pharmacy tech certification,Certified Pharmacy Technician (CPhT)
Industry/Marketing Technologies,Vertical/Industry Marketing
SAP CRM Service,SAP
Experience in manufacturing industries,Manufacturing
Video surveillance equipment,Surveillance
Masters in Business Administration (MBA),Business Administration
Vendor/landlord relationship management,Vendor/Supplier Relations
Electronic/electrical devices,Electrical Components
Educate patients about selfmanagement,Patient Education
VHLC (Vital Harmon Logic Controller),Financial Control
Contribution to Opensource Projects,Open Source
Cleaning supplies inventory management,Inventory Management
Functional Analyst,Functional Analysis
High proficiency with Microsoft Excel & Power Point,Microsoft Excel
Structural Analysis Tools: SESAM USFOS SACS,Analysis Skills
Experience in payload integration,Wheel/Front-End Loader
Cargo Processing,Cargo/Freight
Information Assurance Manager Level 3,IAM - Information Assurance Management
CAM or ARM Certification,ARM (Advanced RISC Machine)
Maintenance Shops and Storage Rooms,Maintenance Services
Pricing Consulting,Pricing
Ability to use 10key calculator typewriter,10-key (Tenkey) Numeric Keypad
Construction and move coordination,Construction
Summarize research findings in technical reports manuscripts and presentations,Technical Research
ISO9001 and ISO14001 compliance,ISO 9001
Examining and Diagnosing,Identify Issues
AV/IT Management,Management of Information Systems/Technology (MIS)
Capital Market Front Office Technologies,Capital Markets
Fluency in English and French,French Language
Phishing/Spam,Phishing
Air Force (AF),Air Force
Total Dose Analysis,Analysis Skills
Field Testing (Water Pressure Sewer Low Pressure Manhole Vacuum),Field Trials
Ability to Effectively Prioritize Multiple Tasks,Establish Priorities
Electronic Information Records Management System (EIRMS),Records Management
High voltage electrical transmission line,High Voltage (HV)
Must pass a National Agency Check and Inquiries (NACI) Clearance,National Agency Clearance
AWS Databases (DynamoDB RDS),Amazon Relational Database Service (RDS)
Landlord and thirdparty relationship management,Relationship Management
NHS pharmacy funding,Pharmacy
Database Optimization,Database Optimization
Tactical and operational plans,Operations Planning
Juniper MIST Wireless,Juniper Networks Product Family
Preventive maintenance schedule,Preventative Maintenance
Reimbursement for Licensure Certifications and Travel,Reimbursement
5 years experience as internal or external auditor,External Audit
Standards Specifications and Regulations,Regulatory Requirements
Bachelor's degree in Construction Management Civil Engineering Architecture or related field,Construction Management
2 years of ER nursing experience,Nursing
Reporting/Project Management,Project/Program Management
3045 WPM typing speed,Typing
Nonprofit Corporate Governance,Nonprofit
Director of Clinical Services,Clinical Medicine
Riley Hospital for Children,Hospital
Large file management systems,File Management
QPE (Quality Process Evaluation),Process Analysis
Ability to advise on the choice and application of different analytical techniques assess the quality of data and evidence and critique colleagues' findings or assumptions to assure best practice,Best Practices
Providing continuous attention to the development of staff,Staff Development
Infor M3 general ledger system,General Ledger Accounting
Bachelor's Degree or Master's degree as Physician Assistant,Physician Assistant
Balance sheet accounts,Balance Sheet
Virtual live learning platform,eLearning
Bachelor of Teaching (Early Childhood),Early Childhood Education
Patient Evaluation for Skin Diseases,Patient Assessment
FDA Meetings,FDA (Food and Drug Administration)
HIPAA COBRA ERISA compliance,HIPAA (Health Insurance Portability and Accountability Act)
5+ Years Distribution/Warehouse Management,Distribution Warehousing
Crosstraining in Custom Framing selling,Sales
Litigation,Litigation
RF gun scans,Radio Frequency
Benchmarking information,Benchmarking
Typing Speed of 45 wpm,Typing
Comprehensive treatment plans,Treatment Plan
Retail produce,Retail
OEM software programs,OEM (Original Equipment Manufacturer)
knowledge of piping supports,Piping
Sales Tools and Application Notes,Sales Tools
Experience in Multidisciplinary Team,Cross-Functional
Pittsburgh Mercys Avatar Electronic Health Record,Medical Record System
Internal documentation communication,Documentation
AutoCAD for Electrical,AutoCAD
Partial relationship management accountability for assigned larger complex client accounts,Relationship Management
Aluminum extrusion production machines,Extrusion
Health Insurance (BCBS),Health Insurance
Cognitive Neurologist,Neurology
EASA Regulatory Requirements,Regulatory Requirements
TB vaccination,Vaccination
Relationship Management Skills,Relationship Management
Adult or Geriatrics Case Managment experience,Geriatrics
Exceptional Communication & Time Management Skills,Time Management
Addiction Counselor Experience,Addiction Counseling
Electrical Load Studies,Electricity
Laboratory Work Interpretation,Laboratory
Mine ventilation,Mine Ventilation
Commodity Product Awareness,Brand Marketing (Branding)
Exchange Performance Evaluations,Performance Analysis
Critical Care Analyzers,Critical Care
Beth Israel Deaconess Hospital,Hospital
Infection Control Materials,Infection Control
Knowledge (practical nursing procedures),Nursing
Memory issues,Memory Hardware
2+ Years Healthcare Experience,Healthcare
RHEL Certification,Red Hat Linux Operating System
USACE (U.S. Army Corps of Engineers),United States Army
Visiting MRI,Magnetic Resonance Imaging (MRI)
Real Estate License (where applicable),Real Estate
FrontEnd cash registers and scanning equipment,User Interface/Experience (UI/UX)
Complex Financial Systems,Financial Systems
Partner Government Agency (PGA) data,Government
MES software development implementation and support life cycle management,MES Software
Player Performance Analysis,Performance Analysis
Customer service degree,Customer Support/Service
Azure Serverless Functions,Microsoft Windows Azure
Federal Government contracts,Federal Government
Final Expense Insurance,Insurance
Collaborate with staff on IRB submissions,IRB/IEC (Institutional Review Board/Independent Ethics Committee)
State and local Emergency Medical Dispatch regulations,Regulations
Quality Inspector experience,Quality Control
ZWILLING employee discount of 50% off retail,Retail
Mentor Xpedition Suite,Mentoring
RAF training,Royal Air Force
Seven years of experience in health and safety,Safety/Work Safety
Mental simulation,Simulation
Daily operational deadlines,Time Management
New SQL Server Implementation,Microsoft SQL Server
Employment and compliance audits,Maintain Compliance
